20C,Time,Celsius(C),Humidity(%rh),Dew Point(C),Serial Number
1,2025-09-12 10:07:38,21.5,54.0,11.8,065064626
2,2025-09-12 10:12:38,21.5,53.0,11.5
3,2025-09-12 10:17:38,21.5,53.0,11.5
4,2025-09-12 10:22:38,21.5,53.5,11.7
5,2025-09-12 10:27:38,21.0,54.0,11.3
6,2025-09-12 10:32:38,21.0,54.0,11.3
7,2025-09-12 10:37:38,21.5,54.0,11.8
8,2025-09-12 10:42:38,21.5,54.0,11.8
9,2025-09-12 10:47:38,21.5,54.0,11.8
10,2025-09-12 10:52:38,21.0,54.0,11.3
11,2025-09-12 10:57:38,21.0,54.5,11.5
12,2025-09-12 11:02:38,21.0,54.0,11.3
13,2025-09-12 11:07:38,21.5,54.0,11.8
14,2025-09-12 11:12:38,21.5,54.0,11.8
15,2025-09-12 11:17:38,21.0,54.0,11.3
16,2025-09-12 11:22:38,21.0,54.5,11.5
17,2025-09-12 11:27:38,21.0,54.5,11.5
18,2025-09-12 11:32:38,21.0,54.5,11.5
19,2025-09-12 11:37:38,21.5,54.0,11.8
20,2025-09-12 11:42:38,21.5,54.0,11.8
21,2025-09-12 11:47:38,21.5,54.0,11.8
22,2025-09-12 11:52:38,21.0,54.5,11.5
23,2025-09-12 11:57:38,21.0,54.5,11.5
24,2025-09-12 12:02:38,21.0,54.5,11.5
25,2025-09-12 12:07:38,21.5,54.5,11.9
26,2025-09-12 12:12:38,21.5,54.0,11.8
27,2025-09-12 12:17:38,21.5,54.0,11.8
28,2025-09-12 12:22:38,21.5,54.5,11.9
29,2025-09-12 12:27:38,21.0,54.5,11.5
30,2025-09-12 12:32:38,21.0,55.0,11.6
31,2025-09-12 12:37:38,21.5,54.5,11.9
32,2025-09-12 12:42:38,21.5,54.5,11.9
33,2025-09-12 12:47:38,21.5,54.5,11.9
34,2025-09-12 12:52:38,21.5,55.0,12.1
35,2025-09-12 12:57:38,21.0,55.0,11.6
36,2025-09-12 13:02:38,21.0,55.5,11.8
37,2025-09-12 13:07:38,21.5,55.0,12.1
38,2025-09-12 13:12:38,21.5,55.0,12.1
39,2025-09-12 13:17:38,21.5,54.5,11.9
40,2025-09-12 13:22:38,21.5,55.0,12.1
